subject,idOfWord,key,H,UD,DD
vuko,1,Oem_Period,0.079,0.125,0.204
vuko,1,T,0.093,0.016,0.109
vuko,1,I,0.062,0.094,0.156
vuko,1,E,0.094,0.187,0.281
vuko,1,5,0.079,0.187,0.266
vuko,1,Lshift,0.234,0.141,0.375
vuko,1,O,0.078,0.063,0.141
vuko,1,A,0.125,0.0,0.125
vuko,1,N,0.062,0.094,0.156
vuko,1,L,0.078,0.125,0.203
vuko,1,Return,0.078,nan,nan
vuko,2,Oem_Period,0.063,0.469,0.532
vuko,2,T,0.078,0.047,0.125
vuko,2,I,0.062,0.109,0.171
vuko,2,E,0.11,0.156,0.266
vuko,2,5,0.094,0.203,0.297
vuko,2,Lshift,0.187,0.141,0.328
vuko,2,O,0.094,0.078,0.172
vuko,2,A,0.125,0.016,0.141
vuko,2,N,0.062,0.109,0.171
vuko,2,L,0.094,0.125,0.219
vuko,2,Return,0.094,nan,nan
vuko,3,Oem_Period,0.078,0.172,0.25
vuko,3,T,0.109,0.047,0.156
vuko,3,I,0.094,0.078,0.172
vuko,3,E,0.094,0.203,0.297
vuko,3,5,0.078,0.25,0.328
vuko,3,Lshift,0.203,0.157,0.36
vuko,3,O,0.093,0.078,0.171
vuko,3,A,0.11,0.047,0.157
vuko,3,N,0.093,0.094,0.187
vuko,3,L,0.094,0.125,0.219
vuko,3,Return,0.078,nan,nan
vuko,4,Oem_Period,0.125,0.109,0.234
vuko,4,T,0.11,0.031,0.141
vuko,4,I,0.062,0.11,0.172
vuko,4,E,0.109,0.235,0.344
vuko,4,5,0.062,0.313,0.375
vuko,4,Lshift,0.203,0.109,0.312
vuko,4,O,0.094,0.094,0.188
vuko,4,A,0.093,0.032,0.125
vuko,4,N,0.093,0.11,0.203
vuko,4,L,0.093,0.079,0.172
vuko,4,Return,0.125,nan,nan
vuko,5,Oem_Period,0.078,0.328,0.406
vuko,5,T,0.078,0.063,0.141
vuko,5,I,0.078,0.078,0.156
vuko,5,E,0.094,0.203,0.297
vuko,5,5,0.094,0.187,0.281
vuko,5,Lshift,0.188,0.156,0.344
vuko,5,O,0.078,0.094,0.172
vuko,5,A,0.094,0.031,0.125
vuko,5,N,0.094,0.093,0.187
vuko,5,L,0.094,0.094,0.188
vuko,5,Return,0.094,nan,nan
vuko,6,Oem_Period,0.078,0.094,0.172
vuko,6,T,0.093,0.141,0.234
vuko,6,I,0.078,0.172,0.25
vuko,6,E,0.109,0.282,0.391
vuko,6,5,0.078,0.187,0.265
vuko,6,Lshift,0.219,0.141,0.36
vuko,6,O,0.109,0.094,0.203
vuko,6,A,0.078,0.031,0.109
vuko,6,N,0.11,0.093,0.203
vuko,6,L,0.094,0.125,0.219
vuko,6,Return,0.094,nan,nan
