user,idOfWord,ascii,key,keyEvent,Time
klara,1,46,Oem_Period,Down,810053140
klara,1,46,Oem_Period,Up,810053250
klara,1,116,T,Down,810053265
klara,1,116,T,Up,810053375
klara,1,105,I,Down,810053406
klara,1,101,E,Down,810053484
klara,1,105,I,Up,810053531
klara,1,101,E,Up,810053625
klara,1,53,5,Down,810053703
klara,1,53,5,Up,810053812
klara,1,0,Lshift,Down,810053953
klara,1,82,R,Down,810054109
klara,1,82,R,Up,810054250
klara,1,0,Lshift,Up,810054265
klara,1,111,O,Down,810054343
klara,1,97,A,Down,810054453
klara,1,111,O,Up,810054484
klara,1,110,N,Down,810054578
klara,1,97,A,Up,810054609
klara,1,110,N,Up,810054687
klara,1,108,L,Down,810054765
klara,1,108,L,Up,810054906
klara,1,13,Return,Down,810055015
klara,1,13,Return,Up,810055171
klara,2,46,Oem_Period,Down,810055562
klara,2,46,Oem_Period,Up,810055703
klara,2,116,T,Down,810055781
klara,2,116,T,Up,810055906
klara,2,105,I,Down,810055921
klara,2,101,E,Down,810056015
klara,2,105,I,Up,810056046
klara,2,101,E,Up,810056171
klara,2,53,5,Down,810056281
klara,2,53,5,Up,810056421
klara,2,0,Lshift,Down,810056640
klara,2,82,R,Down,810056796
klara,2,82,R,Up,810056921
klara,2,0,Lshift,Up,810056968
klara,2,111,O,Down,810057031
klara,2,111,O,Up,810057156
klara,2,97,A,Down,810057187
klara,2,97,A,Up,810057328
klara,2,110,N,Down,810057359
klara,2,110,N,Up,810057468
klara,2,108,L,Down,810057531
klara,2,108,L,Up,810057656
klara,2,13,Return,Down,810057671
klara,2,13,Return,Up,810057828
klara,3,46,Oem_Period,Down,810058000
klara,3,46,Oem_Period,Up,810058140
klara,3,116,T,Down,810058203
klara,3,116,T,Up,810058343
klara,3,105,I,Down,810058343
klara,3,101,E,Down,810058453
klara,3,105,I,Up,810058484
klara,3,101,E,Up,810058593
klara,3,53,5,Down,810058968
klara,3,53,5,Up,810059093
klara,3,0,Lshift,Down,810059218
klara,3,82,R,Down,810059359
klara,3,82,R,Up,810059484
klara,3,0,Lshift,Up,810059500
klara,3,111,O,Down,810059593
klara,3,97,A,Down,810059718
klara,3,111,O,Up,810059734
klara,3,110,N,Down,810059828
klara,3,97,A,Up,810059859
klara,3,110,N,Up,810059937
klara,3,108,L,Down,810060000
klara,3,108,L,Up,810060125
klara,3,13,Return,Down,810060359
klara,3,13,Return,Up,810060484
klara,4,46,Oem_Period,Down,810060671
klara,4,46,Oem_Period,Up,810060843
klara,4,116,T,Down,810060937
klara,4,116,T,Up,810061062
klara,4,105,I,Down,810061093
klara,4,101,E,Down,810061187
klara,4,105,I,Up,810061203
klara,4,101,E,Up,810061328
klara,4,53,5,Down,810061671
klara,4,53,5,Up,810061796
klara,4,0,Lshift,Down,810061843
klara,4,82,R,Down,810061984
klara,4,82,R,Up,810062109
klara,4,0,Lshift,Up,810062125
klara,4,111,O,Down,810062265
klara,4,97,A,Down,810062359
klara,4,111,O,Up,810062390
klara,4,110,N,Down,810062500
klara,4,97,A,Up,810062500
klara,4,110,N,Up,810062593
klara,4,108,L,Down,810062671
klara,4,108,L,Up,810062812
klara,4,13,Return,Down,810062843
klara,4,13,Return,Up,810062984
klara,5,46,Oem_Period,Down,810063187
klara,5,46,Oem_Period,Up,810063343
klara,5,116,T,Down,810063375
klara,5,116,T,Up,810063515
klara,5,105,I,Down,810063546
klara,5,101,E,Down,810063640
klara,5,105,I,Up,810063671
klara,5,101,E,Up,810063781
klara,5,53,5,Down,810064125
klara,5,53,5,Up,810064234
klara,5,0,Lshift,Down,810064312
klara,5,82,R,Down,810064484
klara,5,82,R,Up,810064609
klara,5,0,Lshift,Up,810064640
klara,5,111,O,Down,810064734
klara,5,97,A,Down,810064859
klara,5,111,O,Up,810064890
klara,5,110,N,Down,810064984
klara,5,97,A,Up,810065000
klara,5,110,N,Up,810065093
klara,5,108,L,Down,810065453
klara,5,108,L,Up,810065546
klara,5,13,Return,Down,810065843
klara,5,13,Return,Up,810065968
klara,6,46,Oem_Period,Down,810066046
klara,6,46,Oem_Period,Up,810066218
klara,6,116,T,Down,810066234
klara,6,116,T,Up,810066359
klara,6,105,I,Down,810066375
klara,6,101,E,Down,810066468
klara,6,105,I,Up,810066500
klara,6,101,E,Up,810066625
klara,6,53,5,Down,810066921
klara,6,53,5,Up,810067046
klara,6,0,Lshift,Down,810067140
klara,6,82,R,Down,810067281
klara,6,82,R,Up,810067406
klara,6,0,Lshift,Up,810067437
klara,6,111,O,Down,810067500
klara,6,97,A,Down,810067609
klara,6,111,O,Up,810067640
klara,6,110,N,Down,810067734
klara,6,97,A,Up,810067750
klara,6,110,N,Up,810067843
klara,6,108,L,Down,810067921
klara,6,108,L,Up,810068046
klara,6,13,Return,Down,810068234
klara,6,13,Return,Up,810068359
